,model,no_false,confusion_matrix,precision,sensitivity,no_links,F-score,true_pos,true_neg,false_pos,false_neg
0,svm - linear - 0.001,1261,"[2524, 1168, 93, 358848]",0.6836403033586133,0.9644631257164692,3692,0.8001268029798699,2524,358848,1168,93
1,nn - relu - 2000,1221,"[2530, 1134, 87, 358882]",0.6905021834061136,0.9667558272831487,3664,0.8056042031523643,2530,358882,1134,87
2,lg - l2 - 0.005,1713,"[2539, 1635, 78, 358381]",0.6082894106372784,0.9701948796331678,4174,0.7477543807981152,2539,358381,1635,78
3,stack bagging,925,"[2518, 826, 99, 359190]",0.7529904306220095,0.9621704241497898,3344,0.8448246938433148,2518,359190,826,99
