,param,svm-linear,svm-rbf,lg-l1,lg-l2,nn-relu,nn-logistic
0,0.001,0.6829862050311063,0.30133798720186156,0.030932485044155352,0.6604954367666233,0.030049872446048127,0.029242708892467346
1,0.002,0.5989644622264062,0.19126085037516552,0.030932485044155352,0.6344758568926695,0.029868987652628815,0.02855426293079906
2,0.005,0.047835781016786746,0.040391051065939515,0.03222727667117022,0.6023239269622954,0.030788974838990735,0.029018327949290084
3,0.01,0.03224089046268897,0.030821271981519023,0.03222727667117022,0.5086223984142716,0.030227719338804762,0.030030547325386434
4,0.02,0.03219858682605091,0.03087184935954194,0.03222727667117022,0.28849597135183525,0.02985364294358061,0.029734956205209873
5,0.05,0.032174634013538095,0.032045702516825834,0.032221285877162546,0.08839383187772926,0.02977207004121411,0.03056013275835875
6,0.1,0.032174634013538095,0.03221789307555731,0.032211377889932086,0.050698174006444684,0.029710507180512633,0.031045499352723903
7,0.2,0.03219858682605091,0.03204129930963446,0.031916458302691575,0.03664345914254306,0.02981042167781945,0.030687234392242493
8,0.5,0.03196945032618141,0.031031779962947127,0.0315308251812359,0.03160148029896234,0.03042324964515904,0.030345932020470447
9,1.0,0.02853026565672,0.031503562687628855,0.0312559785727951,0.03137758778039291,0.030537649476831092,0.031137581893984516
10,5.0,0.02998106821180655,0.03207276208712303,0.030606631631924532,0.031103921591949853,0.03125411002307591,0.03202327179890024
11,10.0,0.030034137538648982,0.032086940504697,0.030513774956533915,0.030832173933548708,0.03136214698080824,0.03987231038398969
12,20.0,0.031637446726075165,0.032124021096372066,0.03072963794258317,0.030541572745004145,0.0345092125973837,0.06714833229749327
13,50.0,0.030754563751279967,0.03188052423041755,0.030836900508248725,0.030230514901389564,0.046144278606965176,0.30846605196982396
14,100.0,0.030701651358906297,0.03150071072349242,0.030864780616823313,0.03041617233116989,0.09530991355526945,0.5733273259743186
15,200.0,0.030692278790155927,0.029220888020106115,0.030861865407319954,0.030454074324245635,0.3202386872202884,0.6314741035856574
16,500.0,0.030588951453355655,0.02639967719156663,0.030931616750878604,0.030782637367813656,0.60418648905804,0.6832298136645962
17,1000.0,0.030588951453355655,0.026288561411967976,0.030858586454804094,0.030942967399796396,0.6496668375192209,0.0
18,2000.0,0.030588951453355655,0.0261807341009814,0.0308917724361247,0.03104763489026984,0.6843386529618609,0.007216662576213417
19,5000.0,0.030590741998173687,0.025678527607361962,0.030914789190467744,0.031120480205802485,0.0,0.0
