,param,svm-linear,svm-rbf,lg-l1,lg-l2,nn-relu,nn-logistic
0,0.001,0.7998099461514095,0.4648658350533968,0.06000115121165027,0.7842105263157894,0.06005515973339463,0.05361979807929081
1,0.002,0.741442097596504,0.3256484149855908,0.06000115121165027,0.7668581796189899,0.05760582010582011,0.05503737235498474
2,0.005,0.09252922725976619,0.0922440025475904,0.06242946670828631,0.7432333577176298,0.05570240886804519,0.05704807839200366
3,0.01,0.0624415509675563,0.05977757712221829,0.06242946670828631,0.6729683602468162,0.05944310478183722,0.058461091169333644
4,0.02,0.062422092242784534,0.0598651603081396,0.06242946670828631,0.46495263870094716,0.05610405219780219,0.057692095476666046
5,0.05,0.06235391420043872,0.06133818096522606,0.06251500456138666,0.1811442159742621,0.05993187995275175,0.06458945911887523
6,0.1,0.06235391420043872,0.06223947788390539,0.0622237090492007,0.10889177961478745,0.05787603369828741,0.05972468155594905
7,0.2,0.06241984778570144,0.06142309771749607,0.06077431847609271,0.07934641520958999,0.06206225219022293,0.0591481757933546
8,0.5,0.06137981254844846,0.06036663547839345,0.05993445027617978,0.0664647184604419,0.06294548256597958,0.062208583119231144
9,1.0,0.05908346047352659,0.06119867906410286,0.060104579670171805,0.06555031130749148,0.0613135603163057,0.06165344398731565
10,5.0,0.0584834557795744,0.060179640718562875,0.06413371622119136,0.06203150204004175,0.06177724754603764,0.06755217233701
11,10.0,0.05782264038297825,0.05857965623109159,0.06360527244623491,0.06153375532390521,0.06553056921995783,0.0780320778518652
12,20.0,0.05839008596628336,0.04780876494023904,0.0626724572306068,0.06222328017138776,0.06732034576183718,0.1391902051337128
13,50.0,0.056889875125092464,0.027075560063548904,0.06174138114429565,0.06154498151767004,0.09703040609990844,0.4804250559284116
14,100.0,0.05709295344140604,0.028177964960657484,0.06176985290639928,0.06007221545042662,0.1952874646559849,0.7224982256919801
15,200.0,0.05873434780167331,0.02693658164893891,0.06053021876158694,0.058536148088386905,0.49970890743256363,0.7648921731262253
16,500.0,0.058924265981658,0.024209419816715982,0.06073853595014418,0.055494768152121954,0.743559718969555,0.8011399620012667
17,1000.0,0.06246115599751399,0.0235140607424072,0.06438492919383264,0.05454526463122931,0.7774881153197362,0.0
18,2000.0,0.062452927182086636,0.026693373666353267,0.06415562405590282,0.05361506396435244,0.8007596138629529,0.0
19,5000.0,0.06007546822511618,0.020136347879674926,0.06507386830763098,0.05312633527987466,0.01432991101984942,0.0
