,param,svm-linear,svm-rbf,lg-l1,lg-l2,nn-relu,nn-logistic
0,0.001,0.7998099461514095,0.4620049946485908,0.06000115121165027,0.7851828890266584,0.05834513995024487,0.056822503014960724
1,0.002,0.7413341101077775,0.32076984763432237,0.06000115121165027,0.7668581796189899,0.05800412572366524,0.05552133557061235
2,0.005,0.09127025981788138,0.07763434135882431,0.06242946670828631,0.7433421129645887,0.059737292975442606,0.05639819629333967
3,0.01,0.062458025520483546,0.059798081430580484,0.06242946670828631,0.6697990080918821,0.05868031011926801,0.05830871286024862
4,0.02,0.06237713956944911,0.059893268592107377,0.06242946670828631,0.4462910066649355,0.0579751914954939,0.05775072630265003
5,0.05,0.062330688274638606,0.062099111512329545,0.062418226122027645,0.16229759779510788,0.05782136184232347,0.0593064658789377
6,0.1,0.062330688274638606,0.062421614648654464,0.06240264564211939,0.09646612909219278,0.0577052508468218,0.060219314412089935
7,0.2,0.06237713956944911,0.062090105503279154,0.061849058844486667,0.07068002337877698,0.05789368814895171,0.059545097324570896
8,0.5,0.06195445920303605,0.0601928104951567,0.06113189897100092,0.061263964925031944,0.05904867281615879,0.058903029620452754
9,1.0,0.055475970670316954,0.06107994389901824,0.06061519553849899,0.06084314204882819,0.059264127638840106,0.06039252833065718
10,5.0,0.05821414249431894,0.062149177052611554,0.05939402198600891,0.06032991117775984,0.060611681777077,0.06205330066952872
11,10.0,0.058314177955321476,0.06217579593584923,0.059219167534761544,0.059818599810136,0.06081411315660857,0.0766654371080782
12,20.0,0.061331549484209415,0.06224540841849497,0.05962560138632373,0.059271515673519334,0.06670928151367939,0.1257730458613247
13,50.0,0.059671157798584146,0.06178965525389286,0.05982749548147979,0.058685577710701424,0.08818785337113946,0.4697301239970824
14,100.0,0.059572237605259856,0.061076012191846406,0.059879279341190486,0.059035342190515976,0.17388094758741024,0.7213718820861679
15,200.0,0.059554593609386565,0.05678192355277724,0.0598737931903295,0.059106731160435785,0.4832567301378857,0.7646615407809437
16,500.0,0.059359382099045885,0.05144132013720306,0.060005050157243535,0.05972468155594905,0.7447588330156868,0.800632911392405
17,1000.0,0.059359382099045885,0.05123035060587672,0.05986762247211599,0.06002640794534703,0.7777266451909802,0.0
18,2000.0,0.059359382099045885,0.051025581032600215,0.05993007393821287,0.06022263707391275,0.8013937282229965,0.01432991101984942
19,5000.0,0.059362753450332255,0.05007081881866554,0.05997338594961686,0.06035966320555318,0.0,0.0
