,param,svm-linear,svm-rbf,lg-l1,lg-l2,nn-relu,nn-logistic,rf-gini,rf-entropy
0,0.001,0.9842664487127094,0.9961176951369023,0.0,0.9912137310993052,0.9987740089906008,0.9985696771557009,0.9993870044953004,0.9991826726604005
1,0.002,0.9963220269718022,0.9967306906416019,0.9013077237433592,0.9920310584389048,0.9987740089906008,0.9985696771557009,0.9993870044953004,0.9991826726604005
2,0.005,0.9969350224765018,0.9987740089906008,0.9887617490805067,0.9944830404577033,0.9987740089906008,0.9985696771557009,0.9993870044953004,0.9993870044953004
3,0.01,0.9977523498161014,0.9987740089906008,0.9887617490805067,0.9955046996322027,0.9987740089906008,0.9985696771557009,0.9993870044953004,0.9993870044953004
4,0.02,0.9977523498161014,0.9989783408255006,0.9873314262362076,0.9963220269718022,0.9987740089906008,0.9989783408255006,0.9989783408255006,0.9993870044953004
5,0.05,0.9977523498161014,0.9989783408255006,0.9959133633020024,0.9971393543114018,0.9987740089906008,0.9985696771557009,0.9987740089906008,0.9993870044953004
6,0.1,0.9987740089906008,0.9989783408255006,0.996526358806702,0.9973436861463016,0.9987740089906008,0.9985696771557009,0.9926440539436044,0.9989783408255006
7,0.2,0.9987740089906008,0.9989783408255006,0.9967306906416019,0.998365345320801,0.9987740089906008,0.9985696771557009,0.9844707805476093,0.9957090314671025
8,0.5,0.9987740089906008,0.9989783408255006,0.9979566816510013,0.998365345320801,0.9987740089906008,0.9987740089906008,0.0,0.984879444217409
9,1.0,0.9987740089906008,0.9993870044953004,0.9987740089906008,0.9985696771557009,0.9987740089906008,0.9985696771557009,0.0,0.0
10,5.0,0.9985696771557009,0.9993870044953004,0.9985696771557009,0.9985696771557009,0.9987740089906008,0.998365345320801,0.0,0.0
11,10.0,0.9985696771557009,0.9993870044953004,0.9985696771557009,0.9985696771557009,0.9985696771557009,0.9973436861463016,0.0,0.0
12,20.0,0.9985696771557009,0.9993870044953004,0.9985696771557009,0.9985696771557009,0.998365345320801,0.9967306906416019,0.0,0.0
13,50.0,0.9985696771557009,0.9993870044953004,0.9985696771557009,0.9985696771557009,0.9971393543114018,0.9955046996322027,0.0,0.0
14,100.0,0.9985696771557009,0.9993870044953004,0.9985696771557009,0.9985696771557009,0.996526358806702,0.9936657131181038,0.0,0.0
15,200.0,0.9985696771557009,0.9993870044953004,0.9985696771557009,0.9985696771557009,0.9955046996322027,0.9910093992644053,0.0,0.0
16,500.0,0.9985696771557009,0.9993870044953004,0.9985696771557009,0.9985696771557009,0.9930527176134042,0.0,0.0,0.0
17,1000.0,0.9987740089906008,0.9993870044953004,0.9985696771557009,0.9985696771557009,0.9901920719248059,0.0,0.0,0.0
18,2000.0,0.9987740089906008,0.9993870044953004,0.9985696771557009,0.9985696771557009,1.0,0.0,0.0,0.0
19,5000.0,0.9987740089906008,0.9993870044953004,0.9985696771557009,0.9985696771557009,0.0,0.0,0.0,0.0
