,model,no_false,confusion_matrix,precision,sensitivity,no_links,F-score,true_pos,true_neg,false_pos,false_neg
0,svm - linear - 0.005,218,"[4877, 201, 17, 366978]",0.9604174871996849,0.996526358806702,5078,0.9781387886081025,4877,366978,201,17
1,nn - relu - 100,174,"[4876, 156, 18, 367023]",0.9689984101748808,0.9963220269718022,5032,0.9824702800725367,4876,367023,156,18
2,lg - l2 - 0.2,690,"[4885, 681, 9, 366498]",0.8776500179662236,0.9981610134859011,5566,0.934034416826004,4885,366498,681,9
3,rf - entropy - 0.5,2469,"[4821, 2396, 73, 364783]",0.668006096716087,0.9850837760523089,7217,0.7961357443646272,4821,364783,2396,73
4,stack bagging,124,"[4805, 35, 89, 367144]",0.9927685950413223,0.9818144666939109,4840,0.9872611464968152,4805,367144,35,89
