,param,svm-linear,svm-rbf,lg-l1,lg-l2,nn-relu,nn-logistic,rf-gini,rf-entropy
0,0.001,0.9929896907216494,0.9703423566878981,0.0,0.9889908256880734,0.16941575992792293,0.16408793421715054,0.028119538220954834,0.2634017563708852
1,0.002,0.9836594714545088,0.8615330271988697,0.5634180610550518,0.9881945857927946,0.1689123825317855,0.16152270173815347,0.028107903084915637,0.21770494723248876
2,0.005,0.9453594264677389,0.6257040450588838,0.5039050296782256,0.985023274640761,0.23709990300678951,0.0967008188615056,0.028081114288010838,0.04973510539856214
3,0.01,0.8974453225510016,0.5330353249018752,0.5039050296782256,0.9792964824120604,0.2623021196672927,0.191590250019594,0.028067094760158614,0.028080630622872135
4,0.02,0.8550166345648748,0.4155336505778382,0.7580193086265961,0.9711212905795659,0.20745989985572436,0.2349915885604422,0.2736223776223776,0.027887219545571173
5,0.05,0.7327237295757757,0.4652269051469889,0.7582451773490977,0.9373558800922367,0.28623294489664464,0.2542249493006084,0.29554386601366467,0.02810112036771043
6,0.1,0.6602728623531001,0.4691038188447515,0.7520049352251696,0.901218611521418,0.32926911417985855,0.4112747160286075,0.39963564094070886,0.26600663656639284
7,0.2,0.6455361859482304,0.6074313408723748,0.7160041073786123,0.8614245416078985,0.30872695125031574,0.4641466426061354,0.6880931837791199,0.3863690334837331
8,0.5,0.44938861818516135,0.47739478566546234,0.6549644914913574,0.7660708686108498,0.34417687649626816,0.5523906408952187,0.0,0.7357251908396947
9,1.0,0.42401110340041637,0.4482537354477954,0.5979936383655493,0.6987417786674293,0.3838843948794471,0.5961702646664228,0.0,0.0
10,5.0,0.41710043519071593,0.35217861001080303,0.5010765918179022,0.5522657927449429,0.6252238424149399,0.8418332184700207,0.0,0.0
11,10.0,0.41667377035205866,0.33181756481607166,0.482857425155617,0.5108718377587288,0.722501478415139,0.8965833945628214,0.0,0.0
12,20.0,0.4196788872671074,0.2958189629091789,0.4756667315553825,0.4875299281723863,0.8444521258209471,0.9493966523939276,0.0,0.0
13,50.0,0.42112518307917635,0.2958189629091789,0.47414378577665667,0.47747483631388643,0.9230187251749574,0.9779205138498595,0.0,0.0
14,100.0,0.4215610176800345,0.2958189629091789,0.47139963345230057,0.4734954937493943,0.9600393700787402,0.9854073773814349,0.0,0.0
15,200.0,0.42152466367713004,0.2958189629091789,0.4718547842039201,0.4720316877596368,0.9787063077541182,0.9889885807504079,0.0,0.0
16,500.0,0.4215610176800345,0.2958189629091789,0.4718092295810002,0.47030513042641253,0.9866017052375152,0.0,0.0,0.0
17,1000.0,0.4215610176800345,0.2958189629091789,0.47084899296521154,0.4701241220051958,0.9889795918367347,0.0,0.0,0.0
18,2000.0,0.4217064964196359,0.2958189629091789,0.47176368375325806,0.4699884570988842,0.0,0.013153332813722038,0.0,0.0
19,5000.0,0.42265456117596195,0.2958189629091789,0.4724477958236659,0.4699432528614023,0.013153332813722038,0.0,0.0,0.0
